date | value
2017-08-13 | 16
2003-04-02 | 348
2009-02-03 | 172
2000-11-12 | 135
2011-08-08 | 623
2021-02-23 | 459
2003-05-28 | 15
2014-12-03 | 83
2023-08-20 | 603
2005-09-12 | 466
2024-02-19 | 899
2016-10-19 | 354
2024-10-14 | 472
2021-12-08 | 777
2010-03-01 | 401
2023-12-14 | 448
2000-09-05 | 532
2018-04-15 | 867
2006-01-11 | 49
2016-09-28 | 215
2015-06-16 | 964
2007-11-26 | 320
2001-10-14 | 151
2012-07-08 | 614
2022-04-07 | 192
2009-01-24 | 192
2012-10-06 | 955
2010-09-07 | 602
2002-06-27 | 710
2006-08-03 | 284
2001-12-24 | 413
2014-04-05 | 861
2015-07-06 | 101
2000-01-22 | 564
2020-03-12 | 82
2006-10-17 | 908
2002-08-19 | 485
2016-09-11 | 919
2006-10-02 | 822
2021-02-28 | 687
2016-01-17 | 318
2006-07-15 | 953
2020-10-12 | 851
2021-04-09 | 100
2003-07-03 | 345
2010-09-17 | 243
2021-10-02 | 618
2014-01-18 | 606
2015-02-09 | 148
2006-12-14 | 904
2016-01-12 | 763
2013-12-28 | 642
2004-02-20 | 89
2015-04-09 | 887
2005-10-02 | 271
2001-11-22 | 741
2011-11-02 | 895
2017-07-28 | 633
2009-11-13 | 797
2005-09-28 | 484
2019-07-18 | 35
2009-06-19 | 991
2010-08-23 | 911
2020-01-21 | 956
2023-10-20 | 367
2016-07-21 | 825
2011-10-19 | 91
2013-03-08 | 534
2019-09-22 | 630
2013-08-14 | 523
2001-01-19 | 971
2005-11-17 | 430
2012-12-26 | 678
2009-02-12 | 395
2023-02-27 | 963
2020-10-07 | 140
2017-12-23 | 782
2015-01-26 | 941
2009-04-10 | 116
2008-02-07 | 972
2024-04-15 | 458
2021-10-26 | 447
2009-08-27 | 930
2008-05-11 | 777
2009-09-04 | 999
2017-09-09 | 28
2011-10-13 | 596
2000-07-05 | 75
2014-11-18 | 638
2000-12-14 | 762
2011-12-25 | 295
2012-07-21 | 196
